key,5,6,7,8,9
9,/bluespellbook,,/青魔法書 子命令<hex:02100103>/bluespellbook<hex:02100103>對青魔法進行有效技能設定。<hex:02100103>>>子命令<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>設定 青魔法名 開<hex:0249020103><hex:0248020103><hex:02100103>將指定青魔法設為有效技能。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>設定 青魔法名 關<hex:0249020103><hex:0248020103><hex:02100103>將指定青魔法從有效技能中解除。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>預設 有效技能組序號(1-5)<hex:0249020103><hex:0248020103><hex:02100103>換上指定序號的有效技能組。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>撤除<hex:0249020103><hex:0248020103><hex:02100103>將當前設定的有效技能全解除。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>無子命令<hex:0249020103><hex:0248020103><hex:02100103>開啟或關閉青魔法書。<hex:02100103><hex:02100103>>>示例<hex:02100103>/青魔法書 設定 水砲<hex:02100103>將青魔法水砲設為有效技能或從有效技能中解除。<hex:02100103>/青魔法書 預設 2<hex:02100103>將有效技能變為預設好的有效技能組2。,,
10,/magiaattack,,/魔素板攻勢 代名詞<hex:02100103>/magiaattack<hex:02100103>將魔素板的屬性切換為攻擊時克制當前目標的屬性。代名詞可省略。<hex:02100103><hex:02100103>>>示例<hex:02100103>/魔素板攻勢 <目標><hex:02100103>將魔素板的屬性切換為攻擊時克制當前目標的屬性。,,
11,/magiadefense,,/魔素板守勢 代名詞<hex:02100103>/magiadefense<hex:02100103>將魔素板的屬性切換為與當前目標相同的屬性利於防禦。代名詞可省略。<hex:02100103><hex:02100103>>>示例<hex:02100103>/魔素板守勢 <目標><hex:02100103>將魔素板的屬性切換為與當前目標相同的屬性。,,
12,/magiaauto,,/魔素板自動 子命令<hex:02100103>/magiaauto<hex:02100103>修改魔素板的自動調整設定。啟用時會在選中目標後自動切換魔素屬性。<hex:02100103>>>子命令<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>攻勢(atk)<hex:0249020103><hex:0248020103><hex:02100103>向利於攻擊的屬性自動調整。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>守勢(def)<hex:0249020103><hex:0248020103><hex:02100103>向利於防禦的屬性自動調整。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>關(off)<hex:0249020103><hex:0248020103><hex:02100103>關閉自動調整功能。<hex:02100103><hex:02100103>>>示例<hex:02100103>/魔素板自動 攻勢<hex:02100103>選中敵人時魔素板會自動切換到利於攻擊的屬性。,,
13,/cwlinkshell1,/cwl1,/跨服貝頻道1(/跨1) 發言內容<hex:02100103>/cwlinkshell1、/cwl1<hex:02100103>向跨服通訊貝頻道1內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道1(/跨1)」可將預設聊天頻道變更為跨服通訊貝頻道1。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨1 大家好！<hex:02100103>在跨服通訊貝頻道1中發送消息「大家好！」。<hex:02100103>/跨1<hex:02100103>將預設聊天頻道變更為跨服通訊貝頻道1。,,
14,/cwlinkshell2,/cwl2,/跨服貝頻道2(/跨2) 發言內容<hex:02100103>/cwlinkshell2、/cwl2<hex:02100103>向跨服通訊貝頻道2內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道2(/跨2)」可將預設聊天頻道變更為跨服通訊貝頻道2。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨2 大家好！<hex:02100103>在跨服通訊貝頻道2中發送消息「大家好！」。<hex:02100103>/跨2<hex:02100103>將預設聊天頻道變更為跨服通訊貝頻道2。,,
15,/cwlinkshell3,/cwl3,/跨服貝頻道3(/跨3) 發言內容<hex:02100103>/cwlinkshell3、/cwl3<hex:02100103>向跨服通訊貝頻道3內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道3(/跨3)」可將預設聊天頻道變更為跨服通訊貝頻道3。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨3 大家好！<hex:02100103>在跨服通訊貝頻道3中發送消息「大家好！」。<hex:02100103>/跨3<hex:02100103>將預設聊天頻道變更為跨服通訊貝頻道3。,,
16,/cwlinkshell4,/cwl4,/跨服貝頻道4(/跨4) 發言內容<hex:02100103>/cwlinkshell4、/cwl4<hex:02100103>向跨服通訊貝頻道4內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道4(/跨4)」可將預設聊天頻道變更為跨服通訊貝頻道4。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨4 大家好！<hex:02100103>在跨服通訊貝頻道4中發送消息「大家好！」。<hex:02100103>/跨4<hex:02100103>將預設聊天頻道變更為跨服通訊貝頻道4。,,
17,/cwlinkshell5,/cwl5,/跨服貝頻道5(/跨5) 發言內容<hex:02100103>/cwlinkshell5、/cwl5<hex:02100103>向跨服通訊貝頻道5內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道5(/跨5)」可將預設聊天頻道變更為跨服通訊貝頻道5。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨5 大家好！<hex:02100103>在跨服通訊貝頻道5中發送消息「大家好！」。<hex:02100103>/跨5<hex:02100103>將預設聊天頻道變更為跨服通訊貝頻道5。,,
18,/cwlinkshell6,/cwl6,/跨服貝頻道6(/跨6) 發言內容<hex:02100103>/cwlinkshell6、/cwl6<hex:02100103>向跨服通訊貝頻道6內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道6(/跨6)」可將預設聊天頻道變更為跨服通訊貝頻道6。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨6 大家好！<hex:02100103>在跨服通訊貝頻道6中發送消息「大家好！」。<hex:02100103>/跨6<hex:02100103>將預設聊天頻道變更為跨服通訊貝頻道6。,,
19,/cwlinkshell7,/cwl7,/跨服貝頻道7(/跨7) 發言內容<hex:02100103>/cwlinkshell7、/cwl7<hex:02100103>向跨服通訊貝頻道7內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道7(/跨7)」可將預設聊天頻道變更為跨服通訊貝頻道7。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨7 大家好！<hex:02100103>在跨服通訊貝頻道7中發送消息「大家好！」。<hex:02100103>/跨7<hex:02100103>將預設聊天頻道變更為跨服通訊貝頻道7。,,
20,/cwlinkshell8,/cwl8,/跨服貝頻道8(/跨8) 發言內容<hex:02100103>/cwlinkshell8、/cwl8<hex:02100103>向跨服通訊貝頻道8內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道8(/跨8)」可將預設聊天頻道變更為跨服通訊貝頻道8。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨8 大家好！<hex:02100103>在跨服通訊貝頻道8中發送消息「大家好！」。<hex:02100103>/跨8<hex:02100103>將預設聊天頻道變更為跨服通訊貝頻道8。,,
21,/graphicpresets,/gpresets,/映像設定預設 預設組編號<hex:02100103>/graphicpresets、/gpreset<hex:02100103>將映像設定切換為預設設定。<hex:02100103><hex:02100103>>>預設組編號（1-5）<hex:02100103>1：標準品質（筆記型電腦）<hex:02100103>2：標準品質（桌上電腦）<hex:02100103>3：高品質（筆記型電腦）<hex:02100103>4：高品質（桌上電腦）<hex:02100103>5：最高品質<hex:02100103><hex:02100103>示例<hex:02100103>/映像設定預設 1<hex:02100103>將映像設定切換為「標準品質（筆記型電腦）」。,,
22,/fellowship,/fs,/同好會<hex:02100103>/fellowship、/fs<hex:02100103>打開同好會視窗。,,
23,/fellowshipfinder,/fsfinder,/同好招募<hex:02100103>/fellowshipfinder、/fsfinder<hex:02100103>打開同好招募視窗。,,
24,/collection,/coll,/重要物品<hex:02100103>/collection、/coll<hex:02100103>打開重要物品視窗。,,
25,/newgame+,/ng+,/昔日重現模式<hex:02100103>/newgame+、/ng+<hex:02100103>打開昔日重現模式視窗。,,
26,/dice,,/擲骰 聊天頻道 上限值<hex:02100103>/dice<hex:02100103>從0～999中隨機抽取一個數字發送到當前或指定聊天頻道。<hex:02100103>>>可指定頻道：<hex:02100103>小隊(party)<hex:02100103>團隊(alliance)<hex:02100103>部隊(freecompany)<hex:02100103>戰隊(pvpteam)<hex:02100103>通訊貝1-8(linkshell1-8)<hex:02100103>跨服貝1-8(cwlinkshell1-8)<hex:02100103>省略輸入指定頻道時，會在當前頻道發言。<hex:02100103>※設成宏使用時必須指定聊天頻道。<hex:02100103><hex:02100103>>>上限值（2～999）<hex:02100103>在隨機抽選數字時指定上限值。指定上限值後，數字將從（1～上限值）的範圍內抽選。省略上限值時則從（0～999）的範圍內進行抽選。<hex:02100103>>>示例<hex:02100103>/擲骰<hex:02100103>在當前聊天頻道發送隨機擲骰數字。<hex:02100103>/擲骰 16<hex:02100103>在當前聊天頻道發送從1～16範圍內的隨機擲骰數字。<hex:02100103>/擲骰 跨服貝1<hex:02100103>在跨服通訊貝1發送隨機擲骰數字。<hex:02100103>/擲骰 跨服貝1 16<hex:02100103>在跨服通訊貝1～16中發送隨機擲骰數字。,,
27,/nameplatetype,,,,
28,/nameplatedisp,,/名牌顯示 對象 設定代號/nameplatedisp<hex:02100103>進行玩家名牌顯示設定。<hex:02100103>>>對象<hex:02100103>全部(all)<hex:02100103>所有玩家為對象<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>自己<hex:0249020103><hex:0248020103>(self)<hex:02100103>自身為對象<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>小隊<hex:0249020103><hex:0248020103>(party)<hex:02100103>小隊成員為對象<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>團隊<hex:0249020103><hex:0248020103>(alliance)<hex:02100103>團隊成員為對象<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>他人<hex:0249020103><hex:0248020103>(other)<hex:02100103>其他人為對象<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>好友<hex:0249020103><hex:0248020103>(friend)<hex:02100103>好友為對象<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>水晶衝突<hex:0249020103><hex:0248020103>(feast)<hex:02100103>水晶衝突中的敵人為對象<hex:02100103><hex:02100103>>>設定代號1-4<hex:02100103>1:一直顯示<hex:02100103>2:戰鬥時顯示<hex:02100103>3:選為目標時顯示<hex:02100103>4:不顯示<hex:02100103><hex:02100103>>>示例<hex:02100103>/名牌顯示 全部 4<hex:02100103>將所有玩家的名牌顯示設定改為不顯示。,,
29,/fashion,,/時尚配飾 時尚配飾名<hex:02100103>/fashion<hex:02100103>使用指定的時尚配飾。<hex:02100103><hex:02100103>>>示例<hex:02100103>/時尚配飾 陽傘<hex:02100103>使用時尚配飾「陽傘」。,,
30,/fashionguide,,/時尚配飾一覽<hex:02100103>/fashionlist、/fashionguide<hex:02100103>打開時尚配飾選單。,/fashionlist,
31,/officialsite,/site,/官方網站<hex:02100103>/officialsite、/site<hex:02100103>打開官方網站選單。,,
32,//setGearset,,//setGearset<hex:02100103>リアルイベント用コマンド。<hex:02100103>アーマリーチェスト內のアイテムをもとに、自動的にバトルジョブのギアセットを生成する。,,
33,/petmirage,,/召喚獸投影 召喚獸的名字 外貌<hex:02100103>/petmirage、/egimirage<hex:02100103>可以改變接下來召喚的召喚獸外貌。<hex:02100103>但在對戰任務中無效。<hex:02100103>>>召喚獸的名字<hex:02100103>寶石獸<hex:02100103>迦樓羅之靈<hex:02100103>泰坦之靈<hex:02100103>伊弗利特之靈<hex:02100103>>>外貌<hex:02100103>寶石獸<hex:02100103>綠寶石獸<hex:02100103>黃寶石獸<hex:02100103>紅寶石獸<hex:02100103>伊弗利特之靈<hex:02100103>泰坦之靈<hex:02100103>迦樓羅之靈<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>省略外貌或在外貌處輸入「撤除(clear)」<hex:0249020103><hex:0248020103><hex:02100103>召喚獸會恢復原狀。<hex:02100103>>>示例<hex:02100103>/召喚獸投影 迦樓羅之靈 紅寶石獸<hex:02100103>將迦樓羅之靈的外貌變成紅寶石獸。,/petmirage,
34,/petsize,,/召喚獸尺寸 召喚獸的名字 尺寸<hex:02100103>/petsize<hex:02100103>變更特定召喚獸的尺寸。<hex:02100103>本設定在對戰區域內無效。<hex:02100103>另外，本設定只對自身生效，無法改變他人的召喚獸尺寸。<hex:02100103><hex:02100103>>>召喚獸的名字<hex:02100103>亞靈神巴哈姆特<hex:02100103>亞靈神不死鳥<hex:02100103>紅寶石伊弗利特<hex:02100103>黃寶石泰坦<hex:02100103>綠寶石迦樓羅<hex:02100103>全部<hex:02100103><hex:02100103>>>尺寸<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>大<hex:0249020103><hex:0248020103><hex:02100103>　將召喚獸的顯示尺寸變為「大」。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>中<hex:0249020103><hex:0248020103><hex:02100103>　將召喚獸的顯示尺寸變為「中」。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>小<hex:0249020103><hex:0248020103><hex:02100103>　將召喚獸的顯示尺寸變為「小」。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>無子命令<hex:0249020103><hex:0248020103><hex:02100103>　按「小→中→大」的順序切換設定。當尺寸目標為全部時，返回錯誤。<hex:02100103>>>示例<hex:02100103>/召喚獸尺寸 亞靈神巴哈姆特 中<hex:02100103>　將亞靈神巴哈姆特的尺寸變為「中」。<hex:02100103>/召喚獸尺寸 全部 小<hex:02100103>　所有召喚獸的顯示尺寸全部變為「小」。,,
35,/ridepillion,,/共同騎乘 隊員編號 座位編號<hex:02100103>/ridepillion<hex:02100103>搭乘所選隊員的坐騎。<hex:02100103><hex:02100103>>>座位編號（1-7）<hex:02100103>坐在指定座位編號的位置上。如果指定的座位已經填滿，則會自動選擇空著的座位。如果省略子命令，則會嘗試坐在座位編號1的位置。<hex:02100103><hex:02100103>>>示例<hex:02100103>/共同騎乘 <2> 1<hex:02100103>搭乘小隊內編號為2的隊員的坐騎，並坐在座位編號為1的位置。,,
36,/patchnote,,/版本更新筆記<hex:02100103>/patchnote<hex:02100103>打開官方網站中的版本更新筆記頁面。<hex:02100103>此時將啟動瀏覽器。,,
37,/portrait,,/肖像<hex:02100103>/portrait<hex:02100103>打開肖像編輯選單。,,
38,/adventurerplate,/myplate,/冒險者銘牌<hex:02100103>/adventurerplate(/myplate)<hex:02100103>打開自己的冒險者銘牌。,,
91,/pvpteam,/pt,/戰隊頻道(/戰) 發言內容<hex:02100103>/pvpteam、/pt<hex:02100103>向同一戰隊內的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。<hex:02100103>只輸入「/戰隊頻道(/戰)」可將預設聊天頻道變更為戰隊頻道。<hex:02100103>>>示例<hex:02100103><hex:02100103>/戰 我來啦！<hex:02100103>在戰隊頻道中發送消息「我來啦！」。<hex:02100103>/戰<hex:02100103>將預設聊天頻道變更為戰隊頻道。,,
92,/cwlinkshell,/cwl,/跨服貝頻道(/跨) 發言內容<hex:02100103>/cwlinkshell、/cwl<hex:02100103>向常用跨服通訊貝內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/跨服貝頻道(/跨)」可將預設聊天頻道變更為常用跨服通訊貝頻道。<hex:02100103>>>示例<hex:02100103><hex:02100103>/跨 大家好！<hex:02100103>在常用跨服通訊貝頻道中發送消息「大家好！」。<hex:02100103>/跨<hex:02100103>將預設聊天頻道變更為常用跨服通訊貝頻道。,,
101,/beginner,/b,/新人頻道(/新) 發言內容<hex:02100103>/beginner、/b<hex:02100103>向參加新人頻道的所有玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/新人頻道(/新)」可將預設聊天頻道變更為新人頻道。<hex:02100103>>>示例<hex:02100103>/新人頻道 你好。<hex:02100103>在新人頻道發送「你好。」的聊天消息。<hex:02100103>/新人頻道<hex:02100103>將預設聊天頻道變更為新人頻道。,,
102,/say,/s,/說話頻道(/說) 發言內容<hex:02100103>/say、/s<hex:02100103>讓身邊小範圍內的玩家看到自己的發言。<hex:02100103>只輸入「/說話頻道(/說)」可將預設聊天頻道變更為說話頻道。,,
103,/shout,/sh,/喊話頻道(/喊) 發言內容<hex:02100103>/shout、/sh<hex:02100103>讓當前所在區域的所有玩家看到自己的發言。,,
104,/tell,/t,/悄悄話頻道(/悄) 玩家名@伺服器名 發言內容<hex:02100103>/tell、/t<hex:02100103>向和自己屬於同一伺服器的指定玩家發送聊天消息。<hex:02100103>跨伺服器發送時只能對好友或正在募集隊員的隊長生效。<hex:02100103>只輸入「/悄悄話頻道(/悄) 玩家名@伺服器名」可將預設聊天頻道變更為對該玩家的悄悄話頻道。<hex:02100103>>>示例<hex:02100103>/悄 阿魯瑪@萌芽池 你好。<hex:02100103>對萌芽池伺服器的阿魯瑪發送「你好。」的聊天消息。,,
105,/party,/p,/小隊頻道(/隊) 發言內容<hex:02100103>/party、/p<hex:02100103>向同一小隊內的全體成員發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/小隊頻道(/隊)」可將預設聊天頻道變更為小隊頻道。,,
106,/linkshell,/l,/通訊貝頻道(/訊) 發言內容<hex:02100103>/linkshell、/l<hex:02100103>向常用通訊貝內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。<hex:02100103>只輸入「/通訊貝頻道(/訊)」可將預設聊天頻道變更為常用通訊貝頻道。,,
107,/linkshell1,/l1,/通訊貝頻道1(/訊1) 發言內容<hex:02100103>/linkshell1、/l1<hex:02100103>向１號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。,,
108,/linkshell2,/l2,/通訊貝頻道2(/訊2) 發言內容<hex:02100103>/linkshell2、/l2<hex:02100103>向２號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。,,
109,/linkshell3,/l3,/通訊貝頻道3(/訊3) 發言內容<hex:02100103>/linkshell3、/l3<hex:02100103>向３號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。,,
110,/linkshell4,/l4,/通訊貝頻道4(/訊4) 發言內容<hex:02100103>/linkshell4、/l4<hex:02100103>向４號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。,,
111,/linkshell5,/l5,/通訊貝頻道5(/訊5) 發言內容<hex:02100103>/linkshell5、/l5<hex:02100103>向５號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。,,
112,/linkshell6,/l6,/通訊貝頻道6(/訊6) 發言內容<hex:02100103>/linkshell6、/l6<hex:02100103>向６號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。,,
113,/linkshell7,/l7,/通訊貝頻道7(/訊7) 發言內容<hex:02100103>/linkshell7、/l7<hex:02100103>向７號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。,,
114,/linkshell8,/l8,/通訊貝頻道8(/訊8) 發言內容<hex:02100103>/linkshell8、/l8<hex:02100103>向８號通訊貝內的玩家發送聊天訊息，無論離多遠、無論在哪個地區都可以看到。,,
115,/freecompany,/fc,/部隊頻道(/部) 發言內容<hex:02100103>/freecompany、/fc<hex:02100103>向同一部隊內的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。<hex:02100103>只輸入「/部隊頻道(/部)」可將預設聊天頻道變更為部隊頻道。,,
116,/echo,/e,/默語(/默) 發言內容<hex:02100103>/echo、/e<hex:02100103>顯示只有自己能看到的發言內容。,,
117,/yell,/y,/呼喊頻道(/呼) 發言內容<hex:02100103>/yell、/y<hex:02100103>讓身邊大範圍內的玩家看到自己的發言。<hex:02100103>只輸入「/呼喊頻道(/呼)」可將預設聊天頻道變更為呼喊頻道。,,
118,/reply,/r,/回答(/回) 發言內容<hex:02100103>/reply、/r<hex:02100103>向最後一次收到悄悄話的玩家發送聊天消息。,,
119,/alliance,/a,/團隊頻道(/團) 發言內容<hex:02100103>/alliance、/a<hex:02100103>向同一團隊的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。<hex:02100103>只輸入「/團隊頻道(/團)」可將預設聊天頻道變更為團隊頻道。,,
121,/join,,/參加<hex:02100103>/join<hex:02100103>接受組隊邀請。,,
122,/decline,,/拒絕<hex:02100103>/decline<hex:02100103>拒絕組隊邀請。,,
123,/invite,,/邀請 代名詞<hex:02100103>/invite<hex:02100103>邀請指定玩家加入小隊。省略代名詞可以把當前所選中的玩家作為對象。,,
124,/kick,,/移除 代名詞<hex:02100103>/kick<hex:02100103>將指定玩家移除小隊。省略代名詞可以把當前所選中的玩家作為對象。,,
125,/leader,,/隊長 代名詞<hex:02100103>/leader<hex:02100103>將隊長轉讓給指定玩家。省略代名詞可以把當前所選中的玩家作為對象。,,
126,/leave,,/退隊<hex:02100103>/leave<hex:02100103>退出小隊。,,
131,/check,/c,/查看 代名詞<hex:02100103>/check、/c<hex:02100103>查看指定玩家的情報。省略代名詞可以查看當前選中的目標。,,
132,/trade,,/交易 代名詞<hex:02100103>/trade<hex:02100103>向指定玩家申請交易。省略代名詞可以向當前選中的目標發起交易申請。,,
133,/automove,,/自動前進(/前進) 子命令<hex:02100103>/automove<hex:02100103>向當前面對的方向自動前進。<hex:02100103>>>子命令<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>開(on)<hex:0249020103><hex:0248020103><hex:02100103>　開啟自動前進。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>關(off)<hex:0249020103><hex:0248020103><hex:02100103>　關閉自動前進。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>無子命令<hex:0249020103><hex:0248020103><hex:02100103>　在開啟與關閉之間切換。,,
134,/follow,,/跟隨 代名詞<hex:02100103>/follow<hex:02100103>自動跟隨指定玩家。省略代名詞可以跟隨當前選中的目標。,,
136,/meldrequest,,/委託鑲嵌 代名詞<hex:02100103>/meldrequest<hex:02100103>向指定玩家發送魔晶石鑲嵌委託。省略代名詞可以向當前選中的玩家發送魔晶石鑲嵌委託。,,
141,/character,/gear,/角色(/裝備)<hex:02100103>/character、/gear<hex:02100103>打開角色視窗。,,
142,/journal,,/日誌<hex:02100103>/journal<hex:02100103>打開日誌。,,
143,/dutyfinder,/dfinder,/任務搜尋器(/任務)<hex:02100103>/dutyfinder、/dfinder<hex:02100103>打開任務搜尋器。,/contentsfinder,/cfinder
144,/armourychest,/armoury,/兵裝庫(/兵裝)<hex:02100103>/armourychest、/armoury<hex:02100103>打開兵裝庫。,,
145,/huntinglog,/hlog,/討伐筆記(/討伐)<hex:02100103>/huntinglog、/hlog<hex:02100103>打開討伐筆記。,,
146,/craftinglog,/clog,/製作筆記(/製作)<hex:02100103>/craftinglog、/clog<hex:02100103>打開製作筆記。,,
147,/gatheringlog,/glog,/採集筆記(/採集)<hex:02100103>/gatheringlog、/glog<hex:02100103>打開採集筆記。,,
148,/fishinglog,/flog,/釣魚筆記(/釣魚)<hex:02100103>/fishinglog、/flog<hex:02100103>打開釣魚筆記。,,
149,/achievements,,/成就<hex:02100103>/achievements<hex:02100103>打開成就列表。,,
150,/partycmd,/pcmd,/小隊命令(/小隊) 子命令<hex:02100103>/partycmd、/pcmd<hex:02100103>運行各種組隊指令。<hex:02100103>※跨服組隊時僅會打開小隊隊員視窗以及使用「加入」指令。<hex:02100103>>>子命令<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>加入(add) 代名詞<hex:0249020103><hex:0248020103><hex:02100103>　邀請指定玩家加入小隊。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>接受(accept)<hex:0249020103><hex:0248020103><hex:02100103>　接受小隊發來的邀請。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>拒絕(deny)<hex:0249020103><hex:0248020103><hex:02100103>　拒絕小隊發來的邀請。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>隊長(leader) 代名詞<hex:0249020103><hex:0248020103><hex:02100103>　將小隊隊長轉讓給指定玩家。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>退隊(leave)<hex:0249020103><hex:0248020103><hex:02100103>　退出已加入的小隊。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>移除(kick) 代名詞<hex:0249020103><hex:0248020103><hex:02100103>　將指定隊員移除出小隊。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>解散(breakup)<hex:0249020103><hex:0248020103><hex:02100103>　解散小隊。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>無子命令<hex:0249020103><hex:0248020103><hex:02100103>　打開小隊隊員視窗。,,
151,/friendlist,/flist,/好友命令(/好友) 子命令<hex:02100103>/friendlist、/flist<hex:02100103>運行各種好友名單相關指令。<hex:02100103>>>子命令<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>加入(add) 代名詞<hex:0249020103><hex:0248020103><hex:02100103>　向指定玩家發送好友申請。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>接受(accept) 代名詞<hex:0249020103><hex:0248020103><hex:02100103>　接受指定玩家發來的好友申請。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>拒絕(deny) 代名詞<hex:0249020103><hex:0248020103><hex:02100103>　拒絕指定玩家發來的好友申請。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>清除(remove) 代名詞<hex:0249020103><hex:0248020103><hex:02100103>　將指定玩家移出好友名單。<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>無子命令<hex:0249020103><hex:0248020103><hex:02100103>　打開好友名單。,,
